"Region","Soma_Region_Source","n"
"IAL","atlas_already_in_manual_scheme",18
"IAL","coord_inferred_from_251637_padded",4
"IAL","coord_inferred_from_251637_padded_distant",8
"IAL","coord_inferred_from_251637_strict",5
"IAL","coord_inferred_from_251637_strict_distant",1
"IAL","curated_251637",102
"IAPM","curated_251637",16
"IDD5","atlas_to_manual_harmonized_251637_rule",7
"IDD5","curated_251637",63
"IDM","atlas_to_manual_harmonized_251637_rule_ambiguous",3
"IDM","curated_251637",76
"IDV","curated_251637",3
