NeuronID,Cluster_ID
001.swc,20
002.swc,15
007.swc,20
008.swc,18
009.swc,18
012.swc,19
013.swc,25
014.swc,18
015.swc,20
016.swc,19
018.swc,15
039.swc,20
042.swc,20
044.swc,15
045.swc,18
046.swc,20
047.swc,15
048.swc,20
049.swc,15
050.swc,15
051.swc,20
052.swc,25
053.swc,15
054.swc,20
055.swc,15
056.swc,20
057.swc,20
058.swc,15
059.swc,15
060.swc,20
061.swc,19
062.swc,15
063.swc,15
064.swc,15
065.swc,15
066.swc,18
067.swc,20
068.swc,20
069.swc,15
071.swc,15
072.swc,19
073.swc,15
074.swc,20
075.swc,15
076.swc,20
077.swc,15
078.swc,20
080.swc,15
081.swc,15
082.swc,19
083.swc,20
084.swc,20
085.swc,20
086.swc,15
087.swc,20
088.swc,15
089.swc,15
090.swc,15
091.swc,19
095.swc,15
096.swc,22
097.swc,24
098.swc,25
099.swc,21
100.swc,21
101.swc,17
102.swc,17
103.swc,21
104.swc,24
105.swc,22
106.swc,21
107.swc,21
108.swc,21
109.swc,24
110.swc,17
111.swc,21
113.swc,17
116.swc,21
117.swc,22
118.swc,23
119.swc,23
120.swc,16
121.swc,16
122.swc,22
123.swc,23
124.swc,23
125.swc,23
126.swc,23
127.swc,21
128.swc,23
129.swc,21
130.swc,17
131.swc,23
132.swc,17
133.swc,21
134.swc,23
135.swc,21
136.swc,21
137.swc,17
138.swc,17
139.swc,21
140.swc,21
141.swc,22
142.swc,17
143.swc,22
144.swc,21
145.swc,17
146.swc,16
147.swc,16
148.swc,16
149.swc,21
150.swc,16
151.swc,16
152.swc,21
153.swc,16
154.swc,21
155.swc,17
156.swc,17
157.swc,23
158.swc,17
392.swc,12
393.swc,7
394.swc,4
395.swc,13
396.swc,12
397.swc,4
398.swc,11
399.swc,8
400.swc,8
401.swc,6
402.swc,6
403.swc,8
404.swc,4
405.swc,7
406.swc,4
407.swc,12
408.swc,4
409.swc,12
410.swc,4
411.swc,4
412.swc,4
413.swc,4
414.swc,11
415.swc,8
416.swc,13
417.swc,7
418.swc,11
419.swc,12
420.swc,12
421.swc,12
424.swc,11
425.swc,13
426.swc,5
427.swc,5
428.swc,5
429.swc,5
430.swc,6
431.swc,14
432.swc,11
433.swc,14
434.swc,11
435.swc,5
436.swc,7
437.swc,9
441.swc,13
442.swc,10
443.swc,14
445.swc,13
446.swc,14
447.swc,13
448.swc,14
449.swc,5
450.swc,13
451.swc,5
452.swc,7
453.swc,13
454.swc,6
455.swc,5
456.swc,5
457.swc,6
462.swc,5
463.swc,11
464.swc,13
465.swc,6
466.swc,5
467.swc,12
468.swc,12
470.swc,5
471.swc,5
472.swc,3
473.swc,2
474.swc,2
475.swc,3
476.swc,3
477.swc,2
478.swc,3
479.swc,2
480.swc,2
481.swc,2
482.swc,2
483.swc,2
484.swc,1
485.swc,1
486.swc,1
487.swc,1
488.swc,1
489.swc,2
490.swc,3
491.swc,2
492.swc,2
493.swc,2
494.swc,2
